item,Theme,Category,beauty_mean,beauty_SD,N,subset,women_beauty_mean,men_beauty_mean
600,Paperclips1,Object,3.23,1.61,104,subset4,3.05,3.22
601,Paperclips2,Object,4.41,1.73,368,subset1,4.96,5.55
602,Paperclips3,Object,3.2,1.53,145,subset3,3.24,3.05
603,Paperclips4,Object,3.48,1.49,145,subset3,3.02,2.60
604,Parachuting1,Scene,4.94,1.23,145,subset3,3.80,3.86
605,Parachuting2,Person,5.41,1.34,140,subset2,2.83,3.16
606,Parachuting3,Person,4.2,1.32,140,subset2,2.45,2.32
607,Parachuting4,Person,4.86,1.44,104,subset4,3.17,3.16
608,Parade1,Person,4.48,1.40,145,subset3,4.45,4.42
609,Parasailing1,Scene,5.1,1.66,104,subset4,4.82,5.15
610,Parasailing2,Person,4.92,1.39,145,subset3,4.69,4.96
611,Parasailing3,Scene,4.53,1.37,145,subset3,4.57,4.98
612,Parasailing4,Scene,4.83,1.44,140,subset2,5.58,5.79
613,Party1,Person,3.8,1.55,140,subset2,3.06,3.24
614,Path1,Scene,4.9,1.39,368,subset1,4.18,4.65
615,Penguins1,Animal,6.08,1.06,368,subset1,4.41,4.91
616,Penguins2,Animal,5.99,1.22,145,subset3,4.70,4.88
617,Performance1,Scene,5.3,1.33,368,subset1,4.86,4.78
618,Performance2,Scene,3.39,1.64,140,subset2,4.42,4.48
619,Phone1,Object,4.55,1.55,140,subset2,4.31,4.32
620,Picnic1,Person,5.21,1.42,140,subset2,4.85,4.98
621,Picnic2,Person,4.86,1.68,104,subset4,4.51,4.60
622,Picnic3,Person,3.3,1.55,145,subset3,4.70,5.38
623,Picnic4,Person,4.4,1.52,104,subset4,5.54,5.96
624,Pig1,Animal,4.12,1.47,140,subset2,6.13,6.42
625,Pig2,Animal,4.09,1.69,104,subset4,6.13,6.56
626,Pigeon1,Animal,4.2,1.52,104,subset4,5.63,5.51
627,Pigeon2,Animal,4.55,1.46,140,subset2,5.17,5.36
628,Pigeon3,Animal,4.89,1.47,368,subset1,4.28,4.08
629,Pigeon4,Animal,4.79,1.30,140,subset2,4.67,4.61
630,Pigeon5,Animal,4.89,1.37,140,subset2,4.43,4.58
631,Pigeon6,Animal,2.12,1.33,145,subset3,4.31,3.93
632,Pinecone1,Object,4.99,1.42,368,subset1,4.47,5.20
633,Pinecone2,Object,4.61,1.49,368,subset1,4.37,4.65
634,Pinecone3,Object,5.39,1.10,145,subset3,5.28,5.30
635,Pinecone4,Object,4.51,1.55,140,subset2,4.09,4.18
636,Planecrash1,Object,3.76,1.79,145,subset3,5.13,5.64
637,Planecrash2,Scene,3.43,1.58,145,subset3,4.34,4.90
638,Planecrash3,Scene,3.24,1.92,368,subset1,3.91,3.79
639,Planecrash4,Object,3.15,1.71,368,subset1,4.23,4.07
640,Police1,Person,3.16,1.75,368,subset1,4.14,4.30
641,Police2,Person,2.82,1.67,104,subset4,4.22,3.84
642,Police3,Person,3.83,1.58,368,subset1,3.84,3.86
643,Police4,Person,2.99,1.54,104,subset4,3.89,3.76
644,Police5,Person,2.38,1.36,140,subset2,4.22,3.92
645,Pollution1,Scene,3.16,1.84,104,subset4,5.22,5.65
646,Powerlines1,Scene,4.44,1.61,140,subset2,3.37,3.35
647,Present1,Object,4.99,1.42,368,subset1,3.31,3.13
648,Present2,Object,4.84,1.33,145,subset3,3.78,3.67
649,Prison1,Scene,4.78,1.60,368,subset1,4.18,4.49
650,Prison2,Object,3.14,1.67,104,subset4,4.38,4.59
651,Pumpkin1,Object,4.42,1.46,368,subset1,3.79,3.79
652,Raccoon1,Animal,4.66,1.61,368,subset1,4.84,5.06
653,Rafting1,Person,4.79,1.34,368,subset1,5.02,5.14
654,Rafting2,Person,4.83,1.42,368,subset1,3.93,4.08
655,Rafting3,Person,4.43,1.47,145,subset3,4.25,4.78
656,Rafting4,Person,4.32,1.43,368,subset1,5.37,6.04
657,Rafting5,Person,4.91,1.39,104,subset4,3.40,3.51
658,Rafting6,Person,4.53,1.39,145,subset3,3.42,3.60
659,Railroad1,Scene,5.03,1.50,104,subset4,4.67,4.92
660,Rainbow1,Scene,6.27,1.18,104,subset4,4.55,5.01
661,Rainbow2,Scene,6.34,1.09,104,subset4,3.31,3.33
662,Research1,Scene,5.56,1.22,145,subset3,3.85,4.06
663,Road1,Scene,5.27,1.39,140,subset2,2.92,2.87
664,Rockclimbing1,Person,4.18,1.44,104,subset4,2.91,2.65
665,Rockclimbing2,Person,4.65,1.38,145,subset3,4.16,4.22
666,Rockclimbing3,Person,4.5,1.37,368,subset1,3.59,3.82
667,Rockclimbing4,Person,4.11,1.56,140,subset2,5.03,5.07
668,Rocks1,Object,4.86,1.54,140,subset2,3.25,3.66
669,Rocks2,Object,4.52,1.46,145,subset3,3.70,3.58
670,Rocks3,Object,4.14,1.44,145,subset3,3.36,3.99
671,Rocks4,Object,5.38,1.18,104,subset4,3.37,3.94
672,Rocks5,Object,4.62,1.48,368,subset1,3.88,4.08
673,Rocks6,Object,3.84,1.63,140,subset2,4.28,4.09
674,Rocks7,Object,4.14,1.63,140,subset2,5.07,5.36
675,Rollercoaster1,Scene,4.23,1.39,140,subset2,5.54,6.00
676,Rollercoaster2,Scene,4.04,1.52,104,subset4,5.58,4.91
677,Rollercoaster3,Scene,3.84,1.41,145,subset3,4.97,5.21
678,Roofing1,Object,3.83,1.59,104,subset4,2.61,2.75
679,Roofing2,Object,4.08,1.62,104,subset4,4.39,4.70
680,Roofing3,Object,3.38,1.72,368,subset1,2.63,2.74
681,Roofing4,Object,3.23,1.68,145,subset3,4.25,4.33
682,Roofing5,Object,3.72,1.66,140,subset2,2.72,2.88
683,Rooster1,Animal,4.34,1.62,368,subset1,2.69,2.77
684,Rubberduck1,Object,4.49,1.58,140,subset2,2.06,1.86
685,Rugby1,Person,3.79,1.61,368,subset1,2.96,2.80
686,Rugby2,Person,4.95,1.25,145,subset3,3.59,3.54
687,Runningaway1,Person,5.09,1.47,140,subset2,4.73,5.18
688,Sadface1,Person,4,1.92,104,subset4,3.98,4.71
689,Sadface2,Person,4.51,1.69,368,subset1,4.35,4.66
690,Sadface3,Person,3.47,1.55,145,subset3,4.13,4.64
691,Sadface4,Person,3.53,1.53,145,subset3,3.82,3.87
692,Sadface5,Person,4.81,1.42,140,subset2,4.55,4.79
693,Sadface6,Person,4.78,1.61,368,subset1,4.51,5.20
694,Sadface7,Person,3.32,1.62,140,subset2,4.12,4.60
695,Sadface8,Person,3.95,1.83,104,subset4,4.67,4.84
696,Sadface9,Person,2.89,1.53,140,subset2,2.00,1.65
697,Sadpose1,Person,2.76,1.32,145,subset3,4.83,5.20
698,Sadpose2,Person,4.19,1.87,140,subset2,4.64,4.47
699,Sadpose3,Person,3.7,1.89,104,subset4,5.15,5.52
700,Sadpose4,Person,3.64,1.71,104,subset4,3.63,3.80
701,Sadpose5,Person,3.7,1.60,140,subset2,4.42,4.22
702,Sadpose6,Person,3.64,1.70,104,subset4,4.09,3.96
703,Sadpose7,Person,3.99,1.75,368,subset1,4.98,4.96
704,Sailing1,Scene,4.17,1.45,145,subset3,5.05,4.93
705,Sailing2,Scene,5.22,1.25,368,subset1,5.19,5.57
706,Sailing3,Scene,5.76,1.12,104,subset4,4.73,5.13
707,Satellite1,Object,5.2,1.43,145,subset3,4.31,4.29
708,Scaredcat1,Animal,5.08,1.50,368,subset1,4.85,5.32
709,Scaredface1,Person,2.69,1.48,140,subset2,3.36,2.93
710,Scaredface2,Person,2.68,1.30,145,subset3,2.39,2.22
711,Scaredface3,Person,4.29,1.91,140,subset2,3.28,2.62
712,Scaredface4,Person,2.81,1.43,368,subset1,5.75,6.18
713,Scaredface5,Person,2.75,1.47,145,subset3,2.27,2.13
714,Scaryface1,Person,1.94,1.32,145,subset3,2.91,2.29
715,Scaryface2,Person,2.88,1.74,104,subset4,2.51,2.35
716,School1,Person,3.57,1.51,104,subset4,5.15,5.84
717,School2,Person,4.98,1.35,145,subset3,4.69,4.71
718,School3,Person,4.38,1.69,140,subset2,4.53,5.13
719,School4,Person,4.5,1.46,368,subset1,4.26,4.26
720,School5,Person,3.86,1.50,145,subset3,5.45,5.79
721,School6,Person,4.67,1.45,368,subset1,4.80,4.72
722,School7,Person,4.86,1.53,368,subset1,4.30,4.28
723,School8,Person,4.38,1.50,145,subset3,5.53,5.95
724,Seal1,Animal,4.74,1.40,145,subset3,5.22,5.59
725,Severedfinger1,Person,1.82,1.22,145,subset3,4.84,4.56
726,Shark1,Animal,5.01,1.65,104,subset4,4.95,4.62
727,Shark2,Animal,4.55,1.61,140,subset2,2.67,2.75
728,Shark3,Animal,5.34,1.28,145,subset3,5.05,5.38
729,Shark4,Animal,3.71,1.70,104,subset4,5.13,4.93
730,Shark5,Animal,4.03,1.69,104,subset4,5.09,5.17
731,Shark6,Animal,4.97,1.53,140,subset2,5.74,5.80
732,Shark7,Animal,4.99,1.43,140,subset2,3.94,4.00
733,Shark8,Animal,5.4,1.23,145,subset3,4.84,4.78
734,Shark9,Animal,4.95,1.40,145,subset3,5.43,5.88
735,Shark10,Animal,4.3,1.71,140,subset2,4.28,3.88
736,Shark11,Animal,5.11,1.50,145,subset3,4.45,4.66
737,Shooting1,Person,3.15,1.71,368,subset1,5.38,5.52
738,Shot1,Object,2.32,1.39,145,subset3,2.39,2.37
739,Shot2,Person,2.96,1.56,104,subset4,2.33,2.51
740,Shot3,Object,2.21,1.54,368,subset1,2.66,2.60
741,Shot4,Object,2.57,1.67,140,subset2,5.25,4.54
742,Shot5,Object,2.43,1.33,145,subset3,4.07,3.46
743,Siblings1,Person,5.48,1.62,104,subset4,4.30,4.22
744,Sidewalk1,Object,4.7,1.59,140,subset2,4.61,4.40
745,Sidewalk2,Object,4.83,1.50,368,subset1,5.36,6.16
746,Sidewalk3,Object,4.26,1.51,104,subset4,3.47,2.55
747,Sidewalk4,Object,5.64,1.25,140,subset2,4.27,3.34
748,Sidewalk5,Object,4.76,1.50,140,subset2,4.31,3.98
749,Sidewalk6,Object,4.29,1.59,140,subset2,4.94,5.14
750,Skier1,Person,5.4,1.27,368,subset1,5.13,5.63
751,Skijump1,Scene,4.66,1.44,145,subset3,4.92,4.96
752,Skijump2,Scene,4.77,1.35,140,subset2,5.37,5.58
753,Skinhead1,Person,2.71,1.71,140,subset2,5.44,5.99
754,Sky1,Scene,5.21,1.35,368,subset1,3.72,3.56
755,Skydiving1,Scene,5.02,1.44,140,subset2,4.34,4.36
756,Skydiving2,Person,5.14,1.35,140,subset2,4.43,4.90
757,Skydiving3,Person,5.77,1.30,368,subset1,2.77,2.64
758,Skydiving4,Person,3.97,1.62,140,subset2,4.48,4.47
759,Skydiving5,Person,4.78,1.44,145,subset3,5.04,5.12
760,Skyscraper1,Scene,4.09,1.50,104,subset4,3.62,3.91
761,Skyscraper2,Scene,4.56,1.62,140,subset2,4.55,4.57
762,Sleepypose1,Person,5.45,1.25,368,subset1,3.59,4.36
763,Sleepypose2,Person,2.38,1.33,140,subset2,3.66,3.52
764,Sleepypose3,Person,2.41,1.33,145,subset3,3.89,4.18
765,Sleepypose4,Person,2.61,1.51,145,subset3,3.09,3.10
766,Smilingface1,Person,4.86,1.49,140,subset2,2.97,2.71
767,Snake1,Animal,3.78,1.68,104,subset4,5.03,5.16
768,Snake2,Animal,4.26,1.82,104,subset4,4.03,3.88
769,Snake3,Animal,4.51,1.86,104,subset4,3.30,3.17
770,Snake4,Animal,2.97,1.86,140,subset2,4.63,5.02
771,Snake5,Animal,3.76,1.80,140,subset2,3.92,4.01
772,Snake6,Animal,4.15,1.72,104,subset4,3.70,2.87
773,Snow1,Scene,5.03,1.57,145,subset3,5.10,5.47
774,Snow2,Scene,5.39,1.33,368,subset1,4.14,4.18
775,Snow3,Scene,4.94,1.52,140,subset2,5.13,5.21
776,Snow4,Scene,5.47,1.44,104,subset4,5.50,5.63
777,Snow5,Scene,5.72,1.33,368,subset1,5.60,5.76
778,Soccer1,Object,3.64,1.56,104,subset4,5.09,5.27
779,Soccer2,Object,4.35,1.51,140,subset2,4.10,4.42
780,Socks1,Object,2.71,1.55,368,subset1,3.88,3.36
781,Solarpanel1,Scene,4.48,1.63,368,subset1,3.30,3.73
782,Soldiers1,Scene,5.09,1.56,145,subset3,2.86,2.95
783,Soldiers2,Person,3.77,1.65,368,subset1,4.11,4.20
784,Soldiers3,Person,4.56,1.53,145,subset3,5.41,5.48
785,Soldiers4,Scene,4.01,1.72,140,subset2,5.60,5.88
786,Soldiers5,Person,3.57,1.51,145,subset3,5.03,5.35
787,Soldiers6,Person,4.03,1.67,104,subset4,3.58,3.69
788,Soldiers7,Person,3.1,1.63,104,subset4,5.48,5.60
789,Soldiers8,Person,2.83,1.68,140,subset2,5.75,6.34
790,Soldiers9,Person,3.93,1.50,145,subset3,4.94,5.08
791,Soldiers10,Scene,3.23,1.84,368,subset1,6.36,6.50
792,Soup1,Object,4.83,1.44,368,subset1,6.10,6.68
793,Spider1,Animal,3.97,1.84,368,subset1,6.35,6.64
794,Spider2,Animal,3.25,2.02,140,subset2,6.31,6.72
795,Statue1,Object,5.31,1.20,145,subset3,5.96,6.56
796,Statue2,Object,4.16,1.66,368,subset1,5.86,6.22
797,Stingray1,Animal,5.17,1.38,145,subset3,2.82,2.74
798,Stingray2,Animal,5.56,1.36,368,subset1,3.43,3.38
799,Stingray3,Animal,5.68,1.37,368,subset1,2.67,2.53
800,Storage1,Object,3.59,1.73,140,subset2,2.88,2.88
801,Storage2,Object,3.51,1.60,145,subset3,3.03,2.75
802,Storage3,Object,2.92,1.63,368,subset1,3.47,3.22
803,Street1,Scene,4.15,1.42,104,subset4,4.26,4.30
804,Street2,Scene,5.44,1.30,104,subset4,4.46,4.52
805,Street3,Scene,5.74,1.15,368,subset1,3.86,4.33
806,Street4,Scene,5.19,1.33,368,subset1,4.43,4.54
807,Street5,Scene,3.62,1.45,145,subset3,5.41,5.63
808,Sun1,Object,5.54,1.55,368,subset1,6.20,6.51
809,Sunflower1,Scene,6.07,1.00,145,subset3,5.24,5.78
810,Sunset1,Scene,6.44,0.73,140,subset2,5.55,5.49
811,Sunset2,Scene,6.41,1.02,145,subset3,5.91,6.07
812,Sunset3,Scene,6.49,1.02,104,subset4,2.42,2.21
813,Sunset4,Scene,6.51,0.92,104,subset4,6.23,5.89
814,Sunset5,Scene,6.25,1.02,104,subset4,5.73,5.93
815,Sunset6,Scene,6.04,1.18,368,subset1,5.83,5.84
816,Surgery1,Person,2.79,1.53,145,subset3,5.91,6.38
817,Surgery2,Person,3.4,1.74,104,subset4,5.72,6.02
818,Surgery3,Person,2.59,1.50,140,subset2,5.84,6.18
819,Surgery4,Person,2.88,1.56,140,subset2,3.47,3.99
820,Surgery5,Person,3.36,1.64,368,subset1,5.66,6.04
821,Surprise1,Person,4.28,1.54,104,subset4,5.66,6.01
822,Surprise2,Person,4.49,1.68,104,subset4,4.24,4.39
823,Swimming1,Person,4.11,1.39,140,subset2,5.33,5.57
824,Swingset1,Object,4.48,1.43,104,subset4,4.06,4.13
825,Thunderstorm1,Scene,5.52,1.42,368,subset1,3.57,4.01
826,Thunderstorm2,Scene,6.35,1.07,368,subset1,3.90,3.73
827,Thunderstorm3,Scene,5.5,1.29,104,subset4,3.80,3.58
828,Thunderstorm4,Scene,5.5,1.53,145,subset3,2.58,2.16
829,Thunderstorm5,Scene,5.99,1.29,140,subset2,2.34,2.23
830,Thunderstorm6,Scene,6.05,1.07,140,subset2,3.45,3.35
831,Thunderstorm7,Scene,5.84,1.31,140,subset2,3.17,2.53
832,Thunderstorm8,Scene,5.84,1.32,140,subset2,4.45,4.57
833,Thunderstorm9,Scene,6.13,1.20,104,subset4,5.08,5.12
834,Thunderstorm10,Scene,5.87,1.39,104,subset4,2.25,2.28
835,Thunderstorm11,Scene,6.01,1.17,368,subset1,4.82,5.30
836,Tickling1,Person,3.74,1.65,368,subset1,5.43,5.92
837,Tiger1,Animal,5.86,1.08,145,subset3,5.30,5.61
838,Tiger2,Animal,5.86,1.06,145,subset3,3.91,3.94
839,Timber1,Object,4.32,1.60,145,subset3,5.28,5.66
840,Timber2,Object,4.11,1.50,145,subset3,1.67,1.39
841,Timber3,Object,3.79,1.52,145,subset3,5.21,5.53
842,Timber4,Object,3.79,1.56,145,subset3,5.50,4.99
843,Toast1,Person,3.69,1.59,104,subset4,6.05,5.99
844,Toilet1,Object,2.35,1.47,140,subset2,3.06,2.62
845,Toilet2,Object,2.28,1.27,145,subset3,3.02,3.45
846,Toilet3,Object,3.4,1.77,368,subset1,2.75,2.68
847,Toilet4,Object,2.82,1.91,140,subset2,3.08,3.07
848,Tornado1,Scene,4.51,1.77,368,subset1,3.50,2.92
849,Tornado2,Scene,5.1,1.81,140,subset2,2.79,2.69
850,Tornado3,Scene,5.06,1.47,368,subset1,2.33,2.09
851,Tornado4,Scene,5.66,1.34,104,subset4,3.30,3.00
852,Tornado5,Scene,5.45,1.34,145,subset3,3.65,3.60
853,Torturechamber1,Object,3.92,1.76,104,subset4,3.76,3.62
854,Traffic1,Scene,5.49,1.32,145,subset3,4.58,4.22
855,Tumor1,Person,1.52,1.18,145,subset3,2.45,2.20
856,Volcano1,Scene,5.39,1.40,145,subset3,2.61,2.71
857,Volcano2,Scene,5.22,1.73,140,subset2,3.02,2.92
858,Volcano3,Scene,6.01,1.09,140,subset2,4.15,3.71
859,Wall1,Object,2.81,1.58,145,subset3,5.34,5.86
860,Wall2,Object,2.7,1.54,145,subset3,3.61,3.36
861,Wall3,Object,3.08,1.68,368,subset1,4.65,4.81
862,Wall4,Object,3.22,1.70,104,subset4,5.30,5.48
863,Wall5,Object,2.72,1.60,145,subset3,4.63,5.13
864,War1,Person,2.2,1.56,140,subset2,5.30,5.69
865,War2,Scene,3.15,1.83,104,subset4,5.35,5.69
866,War3,Person,3.63,1.70,104,subset4,5.39,5.42
867,War4,Person,3.68,1.62,145,subset3,3.04,3.02
868,War5,Scene,4.4,1.81,145,subset3,4.48,4.86
869,War6,Person,2.31,1.73,140,subset2,4.80,4.88
870,War7,Person,2.97,1.64,104,subset4,4.97,5.04
871,War8,Scene,3.93,1.79,145,subset3,5.02,5.48
872,Waterfall1,Scene,5.61,1.30,145,subset3,4.69,5.26
873,Weapon1,Object,3.46,1.59,145,subset3,4.17,4.74
874,Wedding1,Person,4.73,1.48,368,subset1,5.41,5.63
875,Wedding2,Person,5.37,1.19,145,subset3,3.94,3.90
876,Wedding3,Person,4.9,1.48,140,subset2,5.57,5.86
877,Wedding4,Object,5.5,1.19,145,subset3,4.65,4.85
878,Wedding5,Person,5.52,1.31,368,subset1,2.93,3.19
879,Wedding6,Person,5.39,1.27,145,subset3,4.83,4.74
880,Wedding7,Object,4.66,1.47,104,subset4,3.73,3.80
881,Wedding8,Object,4.84,1.42,368,subset1,3.94,3.79
882,Wedding9,Person,4.99,1.37,145,subset3,3.74,3.78
883,Wedding10,Person,5.25,1.37,368,subset1,4.18,4.09
884,Wedding11,Object,5,1.16,140,subset2,5.13,4.72
885,Wedding12,Scene,4.44,1.47,104,subset4,3.55,3.93
886,Weddingring1,Object,5.53,1.27,140,subset2,5.12,5.39
887,Windmill1,Object,3.9,1.31,145,subset3,5.75,5.77
888,Wolf1,Animal,5.72,1.11,145,subset3,5.30,5.42
889,Wolf2,Animal,4.75,1.66,368,subset1,4.44,4.38
890,Woods1,Scene,4.79,1.73,104,subset4,3.67,3.90
891,Yarn1,Object,3.77,1.75,140,subset2,5.48,5.98
892,Yarn2,Object,3.86,1.54,140,subset2,4.36,5.13
893,Yarn3,Object,3.76,1.50,104,subset4,3.08,3.24
894,Yarn4,Object,4.12,1.41,145,subset3,3.46,3.27
895,Yoga1,Person,4.93,1.44,104,subset4,4.17,3.64
896,Yoga2,Person,3.76,1.54,140,subset2,3.89,3.68
897,Yoga3,Person,5.26,1.17,145,subset3,5.99,6.29
898,Yoga4,Person,5.76,1.16,368,subset1,4.67,5.16
899,Yoga5,Person,5.36,1.21,140,subset2,4.96,5.35
900,Zebra1,Animal,5.73,1.17,368,subset1,5.41,5.50
